timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781905167000,59.8288477,-99.7531067,-,-
1781905218000,60.0522884,-97.2461857,-,-
1781905269000,360.9970532,-399.8950952,-,-
1781905320000,2062.299349,-2066.1996094,-,-
1781905371000,359.1486595,-389.6158504,-,-
1781905422000,60.1154659,-102.1726522,-,-
1781905473000,58.7418919,-98.5951888,-,-
1781905524000,59.2328426,-97.9462419,-,-
1781905575000,61.7581309,-105.5058167,-,-
1781905626000,59.5189901,-103.489056,-,-
1781905677000,58.2813782,-93.7061149,-,-
1781905728000,59.7133529,-102.8029329,-,-
1781905779000,59.3472756,-102.4786157,-,-
1781905830000,58.6827555,-99.0987874,-,-
1781905881000,59.9486473,-100.3489168,-,-
1781905932000,61.9032593,-103.6399919,-,-
1781905983000,58.4582597,-93.9834692,-,-
1781906034000,60.2886442,-104.2445768,-,-
1781906085000,60.6425486,-105.6109945,-,-
1781906136000,58.801298,-98.1904769,-,-
1781906187000,58.8745355,-98.8107642,-,-
1781906238000,61.507651,-106.0581681,-,-
1781906289000,62.8495111,-104.8627413,-,-
1781906340000,57.1559326,-92.8039958,-,-
1781906391000,59.7605725,-103.5131034,-,-
1781906442000,58.2120357,-96.6409318,-,-
1781906493000,1855.6820437,-1863.8905945,-,-
1781906544000,2020.8256689,-2030.141862,-,-
1781906595000,61.0657389,-102.9299255,-,-
1781906646000,59.8536051,-94.8580924,-,-
1781906697000,60.5970439,-104.8622909,-,-
1781906748000,60.5481681,-105.4781755,-,-
1781906799000,58.4206995,-97.4475655,-,-
1781906850000,59.4681885,-99.5750407,-,-
1781906901000,60.2494647,-101.5215373,-,-
1781906952000,58.6605957,-95.731333,-,-
1781907003000,62.5763727,-106.0282357,-,-
1781907054000,60.4752616,-105.4071436,-,-
1781907105000,58.3009847,-96.2961772,-,-
1781907156000,60.0019255,-101.1430371,-,-
1781907207000,61.1876847,-106.1209493,-,-
1781907258000,59.7890613,-102.019637,-,-
1781907309000,58.3938772,-95.1502262,-,-
1781907360000,62.8972412,-106.2220296,-,-
1781907411000,60.2390371,-102.369561,-,-
1781907462000,59.817452,-99.1083952,-,-
1781907513000,60.1427146,-102.1313009,-,-
1781907564000,59.6459945,-101.860568,-,-
1781907615000,58.755722,-97.9109823,-,-
1781907666000,337.793984,-376.9338118,-,-
1781907717000,2703.7795848,-2709.7620492,-,-
1781907768000,620.672959,-646.4600911,-,-
1781907819000,62.1013359,-101.9576807,-,-
1781907870000,60.2987671,-104.843339,-,-
1781907921000,59.143076,-100.4191956,-,-
1781907972000,57.904633,-94.8894857,-,-
1781908023000,59.722568,-103.6379093,-,-
1781908074000,52.4608577,-88.0554476,-,-
1781908125000,59.7861837,-100.3542419,-,-
1781908176000,61.1391748,-104.6864648,-,-
1781908227000,58.7418813,-98.8454403,-,-
1781908278000,57.8752657,-95.7249593,-,-
1781908329000,60.0923149,-103.8819828,-,-
1781908380000,60.1709717,-101.0482829,-,-
1781908431000,58.3571783,-96.7429513,-,-
1781908482000,60.8176973,-102.0153947,-,-
1781908533000,59.0339583,-97.6342061,-,-
1781908584000,58.035376,-96.9115332,-,-
1781908635000,60.4110484,-104.49245,-,-
1781908686000,60.6534831,-103.5185246,-,-
1781908737000,57.0560282,-92.301838,-,-
1781908788000,59.4030168,-101.6181331,-,-
1781908839000,61.5814453,-104.9401729,-,-
1781908890000,6916.8117798,-1044.5908651,-,-
1781908941000,9153.85014,-5532.5656966,-,-
1781908992000,474.8764087,-9718.8118408,-,-
1781909043000,59.323218,-101.180837,-,-
1781909094000,58.0974036,-95.6694295,-,-
1781909145000,59.5593577,-102.0031148,-,-
1781909196000,60.8550863,-102.3615706,-,-
1781909247000,60.4200682,-99.1673124,-,-
1781909298000,59.4787362,-99.1715706,-,-
1781909349000,59.5255497,-102.6639685,-,-
1781909400000,57.0155802,-91.9894613,-,-
1781909451000,54.3429535,-97.1984436,-,-
1781909502000,58.6242155,-102.7982365,-,-
1781909553000,60.7327389,-98.5750606,-,-
1781909604000,60.6512695,-97.9458757,-,-
1781909655000,60.2403809,-103.7096375,-,-
1781909706000,59.4813326,-100.4179565,-,-
1781909757000,58.151212,-96.3398865,-,-
1781909808000,59.8141187,-102.8033073,-,-
1781909859000,54.6916097,-92.5491691,-,-
1781909910000,57.0487935,-95.4608561,-,-
1781909961000,61.6443111,-104.7326111,-,-
1781910012000,59.730695,-102.2282048,-,-
1781910063000,168.8676396,-93.6386218,-,-
1781910114000,2059.0610262,-109.8634465,-,-
1781910165000,693.0576904,-1807.9768514,-,-
1781910216000,99.7936393,-1004.7239323,-,-
1781910267000,59.7829649,-98.1970406,-,-
1781910318000,61.8872099,-104.0453564,-,-
1781910369000,59.4593205,-100.2120256,-,-
1781910420000,58.6930339,-96.6610758,-,-
1781910471000,60.9977804,-104.0990601,-,-
1781910522000,58.8972522,-96.7010376,-,-
1781910573000,59.3356112,-99.5268848,-,-
1781910624000,61.3040828,-104.9411849,-,-
1781910675000,61.0711589,-101.7703634,-,-
1781910726000,57.4928548,-93.3361466,-,-
1781910777000,60.9641724,-104.3324475,-,-
1781910828000,59.4465869,-101.3005583,-,-
1781910879000,58.5012384,-97.7128076,-,-
1781910930000,59.2622721,-100.4507772,-,-
1781910981000,59.9841374,-100.4958915,-,-
1781911032000,61.0403923,-95.8060726,-,-
1781911083000,67.2293553,-107.5481563,-,-
1781911134000,60.6565442,-104.5734953,-,-
1781911185000,58.1588094,-95.529657,-,-
1781911236000,59.4137345,-100.0205111,-,-
1781911287000,1076.965375,-107.9333386,-,-
1781911338000,1669.7947477,-799.5375903,-,-
1781911389000,140.7851735,-2059.8040186,-,-
1781911440000,62.2998169,-105.0392904,-,-
1781911491000,57.9031248,-94.2334786,-,-
1781911542000,64.1161182,-105.6898429,-,-
