timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1781911899000,0.022,0.066,0.108,-,-
1781911950000,0.1098876,0.0838876,0.108,-,-
1781912001000,0.8367227,0.2739227,0.1682841,-,-
1781912052000,0.9256,0.4,0.2186,-,-
1781912103000,0.8728571,0.462,0.2485714,-,-
1781912154000,0.6952087,0.4881014,0.266,-,-
1781912205000,0.3074088,0.4119015,0.254,-,-
1781912256000,0.1590551,0.3509091,0.2409091,-,-
1781912307000,0.0899015,0.3005015,0.228,-,-
1781912358000,0.037,0.253,0.214,-,-
1781912409000,0.015,0.211,0.197,-,-
1781912460000,0.003,0.1769015,0.184,-,-
1781912511000,0,0.1452727,0.1727273,-,-
1781912562000,0,0.119,0.162,-,-
1781912613000,0.1942034,0.1456,0.1695017,-,-
1781912664000,0.3585043,0.1992,0.186,-,-
1781912715000,0.2638029,0.194,0.185,-,-
1781912766000,0.1687299,0.1825455,0.1781818,-,-
1781912817000,0.0676,0.149,0.168,-,-
1781912868000,0.1039756,0.1436954,0.1640985,-,-
1781912919000,0.075,0.131,0.1599212,-,-
1781912970000,0.03,0.108,0.15,-,-
1781913021000,0.1025481,0.1118182,0.1470909,-,-
1781913072000,0.0636,0.1,0.14,-,-
1781913123000,0.025,0.082,0.131,-,-
1781913174000,0.1111015,0.095,0.13,-,-
1781913225000,0.1327883,0.1001971,0.1290985,-,-
1781913276000,0.2405481,0.1390909,0.14,-,-
1781913327000,0.1067015,0.1177015,0.13,-,-
1781913378000,0.1687015,0.129,0.1344,-,-
1781913429000,0.1215014,0.1225014,0.13,-,-
1781913480000,0.658,0.26,0.175,-,-
1781913531000,1.0869775,0.4466297,0.2438155,-,-
1781913582000,0.7339552,0.4659014,0.265,-,-
1781913633000,0.3428029,0.3975014,0.2532,-,-
1781913684000,0.3744029,0.398,0.2599014,-,-
1781913735000,0.24,0.358,0.255,-,-
1781913786000,0.1101844,0.3006377,0.2406377,-,-
1781913837000,0.3440029,0.3395014,0.255,-,-
1781913888000,0.1493014,0.2844,0.243,-,-
1781913939000,0.0632,0.2379015,0.227,-,-
1781913990000,0.026,0.1999015,0.2139015,-,-
1781914041000,0.0081818,0.1636364,0.1963636,-,-
1781914092000,0.0876,0.158,0.19,-,-
1781914143000,0.1472778,0.1593941,0.1854985,-,-
1781914194000,0.0941015,0.1451015,0.178,-,-
1781914245000,0.0669014,0.126,0.17,-,-
1781914296000,0.0579104,0.1127273,0.1635468,-,-
1781914347000,0.0209014,0.092,0.154,-,-
1781914398000,0.007,0.076,0.144,-,-
1781914449000,0,0.063,0.134,-,-
1781914500000,0.027,0.056,0.127,-,-
1781914551000,0.0734545,0.0636364,0.1209091,-,-
1781914602000,0.045,0.057,0.116,-,-
1781914653000,0.0189015,0.047,0.106,-,-
1781914704000,0.006,0.038,0.096,-,-
1781914755000,0,0.03,0.09,-,-
1781914806000,0.0779894,0.040361,0.0891805,-,-
1781914857000,0.1734029,0.077,0.097,-,-
1781914908000,0.0719014,0.062,0.09,-,-
1781914959000,0.029,0.051,0.082,-,-
1781915010000,0.013,0.041,0.08,-,-
1781915061000,0.0999104,0.0550909,0.082,-,-
1781915112000,0.1630029,0.0816,0.09,-,-
1781915163000,0.0693014,0.067,0.0839014,-,-
1781915214000,0.029,0.055,0.08,-,-
1781915265000,0.0119015,0.045,0.075,-,-
1781915316000,0.1596364,0.0772727,0.0854545,-,-
1781915367000,0.1249015,0.084,0.09,-,-
1781915418000,0.075,0.074,0.083,-,-
