timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1781903484000,401.7205599,1204.0528646,2204.0084896,58.2766797,-,-
1781903535000,403.0411458,1202.1529622,2204.3679687,58.4965332,-,-
1781903586000,380.5627409,1222.9561979,2205.8421094,58.6976107,-,-
1781903637000,356.0730566,1238.3044531,2214.7598047,58.9213444,-,-
1781903688000,379.3741016,1209.2340625,2220.356875,59.0936198,-,-
1781903739000,388.350485,1198.6053516,2221.8088281,59.2939095,-,-
1781903790000,365.5587565,1220.7488932,2222.2415365,59.5093424,-,-
1781903841000,357.6351465,1228.0197135,2222.6848177,59.7188737,-,-
1781903892000,386.3439193,1196.775599,2225.0261458,59.9129167,-,-
1781903943000,377.0641667,1196.9838021,2233.9080729,60.102487,-,-
1781903994000,334.5294141,1233.7033594,2239.5260417,60.2997135,-,-
1781904045000,291.0287435,1230.2249674,2288.4002604,58.4046061,-,-
1781904096000,551.1204557,1511.9061458,1771.9630729,33.0688802,-,-
1781904147000,807.2636523,1724.0447461,1321.2044661,15.5456934,-,-
1781904198000,909.1145703,1741.6797786,1202.9114323,14.3528125,-,-
1781904249000,940.8875553,1722.3683268,1190.1734375,14.6292741,-,-
1781904300000,973.2494792,1745.2834635,1134.6710937,14.8545573,-,-
1781904351000,1374.7609245,1344.8703776,1133.179388,15.2480143,-,-
1781904402000,1479.9417708,1226.1023828,1146.3204167,15.6940625,-,-
1781904453000,1498.9276823,1200.762819,1152.31375,16.0543424,-,-
1781904504000,1503.0484896,1195.8516406,1152.8086458,16.3498438,-,-
1781904555000,1501.8690104,1196.1451497,1153.4035807,16.640918,-,-
1781904606000,1497.1481771,1199.1817318,1154.7663802,16.9623437,-,-
1781904657000,1510.9363281,1177.4433138,1162.3276172,17.3511523,-,-
1781904708000,1481.1469792,1199.5514583,1169.7479167,17.6123047,-,-
1781904759000,1476.8814453,1201.6357943,1171.6575977,17.8837598,-,-
1781904810000,1482.4802083,1195.4598958,1171.9403646,18.1780924,-,-
1781904861000,1484.2890365,1192.893099,1172.3982682,18.4781673,-,-
1781904912000,1476.3150521,1197.0030208,1175.9657812,18.7747266,-,-
1781904963000,1457.8386849,1202.0535156,1189.0804687,19.0861133,-,-
1781905014000,1437.507526,1208.3731771,1202.8309896,19.3469792,-,-
1781905065000,1431.8820312,1211.9424479,1204.6408854,19.5931966,-,-
1781905116000,1430.9434635,1212.2448437,1205.0321354,19.8381641,-,-
1781905167000,1427.7863672,1214.7817513,1205.4017253,20.0887858,-,-
1781905218000,1421.3820443,1218.1600391,1208.1701302,20.3464193,-,-
1781905269000,1376.4807617,1222.7740365,1247.9590755,20.8448307,-,-
1781905320000,1154.1985677,1252.1393229,1439.2730469,22.4476563,-,-
1781905371000,954.4337923,1354.2555339,1536.252181,23.1171419,-,-
1781905422000,894.9511589,1391.3472135,1558.2985938,23.4616927,-,-
