timestamp,received (packets per second),sent (packets per second),delivered (packets per second),anomaly%,annotations
1781910879000,32.2687906,-27.5490387,32.2687906,-,-
1781910930000,32.7865641,-27.6039795,32.7865641,-,-
1781910981000,32.8212035,-27.6122372,32.8212035,-,-
1781911032000,32.5543962,-28.0444722,32.5543962,-,-
1781911083000,34.9207931,-29.7059554,34.9207931,-,-
1781911134000,32.9038485,-27.3443901,32.9038485,-,-
1781911185000,32.5836217,-27.7917755,32.5836217,-,-
1781911236000,33.7056812,-28.4734375,33.7056812,-,-
1781911287000,38.7015474,-32.6936654,38.7015474,-,-
1781911338000,115.4099178,-52.6922685,115.4099178,-,-
1781911389000,244.9643487,-79.109766,244.9643487,-,-
1781911440000,33.2001282,-27.8443278,33.2001282,-,-
1781911491000,31.8636886,-27.5753202,31.8636886,-,-
1781911542000,33.8246332,-28.9663047,33.8246332,-,-
1781911593000,38.1767668,-32.4496129,38.1767668,-,-
1781911644000,37.68712,-32.259366,37.68712,-,-
1781911695000,31.0875076,-27.809699,31.0875076,-,-
1781911746000,26.4184117,-25.9936226,26.4184117,-,-
1781911797000,29.5542687,-27.0278896,29.5542687,-,-
1781911848000,28.9623767,-26.6802653,28.9623767,-,-
1781911899000,28.3149491,-26.2309419,28.3149491,-,-
1781911950000,54.940451,-48.3920237,54.940451,-,-
1781912001000,263.514598,-230.386676,263.514598,-,-
1781912052000,488.1320679,-428.9755583,488.1320679,-,-
1781912103000,36.3439788,-36.8577522,36.3439788,-,-
1781912154000,28.6460573,-27.8975551,28.6460573,-,-
1781912205000,27.2496862,-26.7198944,27.2496862,-,-
1781912256000,26.7864429,-26.4938114,26.7864429,-,-
1781912307000,26.886838,-26.5054761,26.886838,-,-
1781912358000,27.2102433,-26.6751235,27.2102433,-,-
1781912409000,27.0459524,-26.5022562,27.0459524,-,-
1781912460000,26.6897624,-25.4602193,26.6897624,-,-
1781912511000,26.1714512,-25.4171262,26.1714512,-,-
1781912562000,248.6855644,-192.0754997,248.6855644,-,-
1781912613000,884.8403288,-333.1781771,884.8403288,-,-
1781912664000,1536.1064844,-454.4222396,1536.1064844,-,-
1781912715000,1721.8640299,-530.6245443,1721.8640299,-,-
1781912766000,1363.4385286,-474.9628939,1363.4385286,-,-
1781912817000,1567.8434961,-515.7734359,1567.8434961,-,-
1781912868000,1830.084401,-582.2713737,1830.084401,-,-
1781912919000,1471.4975781,-468.7910319,1471.4975781,-,-
1781912970000,635.4582723,-212.5224976,635.4582723,-,-
1781913021000,26.1734071,-26.0725738,26.1734071,-,-
1781913072000,26.1848604,-26.2681938,26.1848604,-,-
1781913123000,26.314158,-26.3978327,26.314158,-,-
1781913174000,25.9855145,-26.0749929,25.9855145,-,-
1781913225000,25.4837936,-25.5387131,25.4837936,-,-
1781913276000,25.2516313,-25.0571033,25.2516313,-,-
1781913327000,25.2062078,-25.0134092,25.2062078,-,-
1781913378000,25.183704,-25.2287541,25.183704,-,-
1781913429000,25.1704229,-25.2896207,25.1704229,-,-
1781913480000,25.4969462,-25.4802775,25.4969462,-,-
1781913531000,25.1453943,-25.2903643,25.1453943,-,-
1781913582000,25.4005831,-25.5411882,25.4005831,-,-
1781913633000,25.3680398,-25.4928888,25.3680398,-,-
1781913684000,24.9487089,-25.1055343,24.9487089,-,-
1781913735000,24.5865122,-24.6632192,24.5865122,-,-
1781913786000,117.9355497,-57.3769446,117.9355497,-,-
1781913837000,909.8721971,-337.2315208,909.8721971,-,-
1781913888000,863.9770703,-313.5494922,863.9770703,-,-
1781913939000,310.9181917,-122.8676062,310.9181917,-,-
1781913990000,25.4097443,-25.4298197,25.4097443,-,-
1781914041000,25.2042696,-25.0613873,25.2042696,-,-
1781914092000,25.1128971,-24.8003288,25.1128971,-,-
1781914143000,25.1144693,-25.2369994,25.1144693,-,-
1781914194000,25.1942934,-24.965908,25.1942934,-,-
1781914245000,25.1544795,-24.9018143,25.1544795,-,-
1781914296000,25.4025798,-25.3337846,25.4025798,-,-
1781914347000,26.0546984,-26.1571999,26.0546984,-,-
1781914398000,26.1844269,-26.5060907,26.1844269,-,-
1781914449000,25.170264,-25.7210973,25.170264,-,-
1781914500000,25.3969462,-25.1969462,25.3969462,-,-
1781914551000,25.4730073,-25.4913144,25.4730073,-,-
1781914602000,25.2393492,-25.5666207,25.2393492,-,-
1781914653000,24.7500386,-24.8669658,24.7500386,-,-
1781914704000,24.8605347,-24.8332638,24.8605347,-,-
1781914755000,25.4559423,-25.5968536,25.4559423,-,-
1781914806000,25.3259383,-25.4238062,25.3259383,-,-
1781914857000,25.2637551,-25.4015704,25.2637551,-,-
1781914908000,25.083984,-25.3998865,25.083984,-,-
1781914959000,25.2198972,-25.3872175,25.2198972,-,-
1781915010000,203.366744,-82.7500702,203.366744,-,-
1781915061000,256.8503192,-99.8895453,256.8503192,-,-
1781915112000,25.4562655,-25.135824,25.4562655,-,-
1781915163000,25.2167834,-24.9761284,25.2167834,-,-
1781915214000,24.9869694,-25.0212864,24.9869694,-,-
1781915265000,25.2252019,-25.3543686,25.2252019,-,-
1781915316000,25.3172664,-25.4631698,25.3172664,-,-
1781915367000,25.306396,-25.4362848,25.306396,-,-
1781915418000,25.2522504,-25.2697595,25.2522504,-,-
