timestamp,in (kibibytes per second),out (kibibytes per second),anomaly%,annotations
1781910522000,25.0001538,-95.7928678,-,-
1781910573000,85.487673,-96.6340597,-,-
1781910624000,106.68,-275.2435596,-,-
1781910675000,71.2833333,-466.4389608,-,-
1781910726000,72.9266667,-220.7994784,-,-
1781910777000,74.57,-113.6636397,-,-
1781910828000,120.8533333,-98.378973,-,-
1781910879000,62.4166667,-658.6537012,-,-
1781910930000,53.4333333,-682.6548665,-,-
1781910981000,71.5166667,-396.0393717,-,-
1781911032000,45.2266667,-326.6381852,-,-
1781911083000,20.4780428,-106.7790597,-,-
1781911134000,46.7381038,-113.3928247,-,-
1781911185000,83.2362386,-102.9265116,-,-
1781911236000,55.3889909,-287.5240853,-,-
1781911287000,27.66,-456.5772412,-,-
1781911338000,29.5733333,-389.4212044,-,-
1781911389000,49.06,-109.3690287,-,-
1781911440000,106.0666667,-113.1681234,-,-
1781911491000,58.9766667,-107.1303772,-,-
1781911542000,769.7066667,-325.6850732,-,-
1781911593000,539.82,-410.1033366,-,-
1781911644000,108.5866667,-283.4092708,-,-
1781911695000,124.8877401,-106.3088379,-,-
1781911746000,130.4607682,-109.9733333,-,-
1781911797000,105.8941357,-114.8466667,-,-
1781911848000,90.4898079,-537.3802604,-,-
1781911899000,102.5079325,-322.0507454,-,-
1781911950000,2017.4171997,-1321.2586589,-,-
1781912001000,2613.7124072,-3243.5821615,-,-
1781912052000,3377.8371689,-6362.6798214,-,-
1781912103000,15366.1370027,-12661.3043015,-,-
1781912154000,1739.1714059,-2394.986356,-,-
1781912205000,85.2497457,-1242.788444,-,-
1781912256000,39.3333333,-564.3063704,-,-
1781912307000,22.52,-106.7684224,-,-
1781912358000,56.5090991,-113.0350024,-,-
1781912409000,115.9012313,-153.4607959,-,-
1781912460000,43.7696696,-415.066862,-,-
1781912511000,25.1693205,-499.0372884,-,-
1781912562000,23027.3289884,-8032.2045964,-,-
1781912613000,14830.4714539,-5125.3021672,-,-
1781912664000,66.6649951,-452.3873665,-,-
1781912715000,63.0166667,-748.5180603,-,-
1781912766000,18.4266667,-96.8027816,-,-
1781912817000,97.9866667,-78.3673551,-,-
1781912868000,33.8133333,-536.2436149,-,-
1781912919000,7.37,-284.0043262,-,-
1781912970000,2.6333333,-83.5474976,-,-
1781913021000,17.0066667,-83.6618262,-,-
1781913072000,39.5066667,-88.8039925,-,-
1781913123000,26.5366667,-115.0825859,-,-
1781913174000,61.7266667,-586.8197404,-,-
1781913225000,61.8166667,-216.019633,-,-
1781913276000,50.2266667,-903.0020247,-,-
1781913327000,31.58,-841.4350675,-,-
1781913378000,35.0333333,-87.0292847,-,-
1781913429000,70.1057486,-165.6257214,-,-
1781913480000,32.1716573,-658.7251302,-,-
1781913531000,113.739075,-241.6225903,-,-
1781913582000,107.3865055,-112.0133374,-,-
1781913633000,215.9960885,-90.0587716,-,-
1781913684000,217.3273633,-89.4077181,-,-
1781913735000,96.7615885,-225.4605326,-,-
1781913786000,1479.3744124,-625.6887956,-,-
1781913837000,12679.6823169,-469.3274772,-,-
1781913888000,2750.158125,-151.6970638,-,-
1781913939000,144.7814852,-127.7614148,-,-
1781913990000,115.9288005,-121.3580404,-,-
1781914041000,84.0700692,-287.8871452,-,-
1781914092000,113.683151,-546.893999,-,-
1781914143000,86.0664941,-85.8947961,-,-
1781914194000,59.8806836,-91.0755282,-,-
1781914245000,37.45,-476.9910807,-,-
1781914296000,95.64,-297.1836882,-,-
1781914347000,194.8933333,-352.6059155,-,-
1781914398000,250.7133333,-492.7619718,-,-
1781914449000,216.3644971,-78.9065267,-,-
1781914500000,191.2299805,-97.1050212,-,-
1781914551000,156.0465519,-84.5842887,-,-
1781914602000,259.9905843,-84.8990999,-,-
1781914653000,217.5128646,-394.310907,-,-
1781914704000,182.88,-429.1965592,-,-
1781914755000,254.2043457,-100.3375753,-,-
1781914806000,282.8521956,-91.71962,-,-
1781914857000,189.6481047,-89.4216109,-,-
1781914908000,166.7667871,-96.0867985,-,-
1781914959000,138.5293205,-466.8771334,-,-
1781915010000,3057.1333333,-455.2074463,-,-
1781915061000,3894.1258532,-195.1271761,-,-
1781915112000,4.219558,-99.6534521,-,-
1781915163000,3.5512558,-87.2329077,-,-
1781915214000,3.6545182,-95.7255339,-,-
1781915265000,18.0666667,-516.7285299,-,-
1781915316000,44.0266667,-323.4591976,-,-
1781915367000,39.9510729,-98.1360938,-,-
1781915418000,44.1513234,-93.1164608,-,-
