timestamp,Committed_AS (mebibytes),anomaly%,annotations
1781905014000,2357.429974,-,-
1781905065000,2357.4078776,-,-
1781905116000,2357.4796354,-,-
1781905167000,2357.4881641,-,-
1781905218000,2357.5967969,-,-
1781905269000,2361.0519661,-,-
1781905320000,2378.5869792,-,-
1781905371000,2361.0552865,-,-
1781905422000,2358.0511458,-,-
1781905473000,2358.0828516,-,-
1781905524000,2358.1378646,-,-
1781905575000,2358.2179688,-,-
1781905626000,2358.1789583,-,-
1781905677000,2358.1196354,-,-
1781905728000,2358.0226042,-,-
1781905779000,2358.0748828,-,-
1781905830000,2358.1023437,-,-
1781905881000,2359.0027083,-,-
1781905932000,2361.0607812,-,-
1781905983000,2362.8515495,-,-
1781906034000,2368.7260677,-,-
1781906085000,2361.3380859,-,-
1781906136000,2358.7255208,-,-
1781906187000,2358.7460026,-,-
1781906238000,2358.7226562,-,-
1781906289000,2358.7645182,-,-
1781906340000,2358.7744792,-,-
1781906391000,2358.90375,-,-
1781906442000,2358.8441667,-,-
1781906493000,2376.760625,-,-
1781906544000,2378.5192708,-,-
1781906595000,2359.176888,-,-
1781906646000,2359.3127083,-,-
1781906697000,2359.1573177,-,-
1781906748000,2359.0946354,-,-
1781906799000,2359.1159505,-,-
1781906850000,2359.1197917,-,-
1781906901000,2359.0566406,-,-
1781906952000,2358.96125,-,-
1781907003000,2358.9455078,-,-
1781907054000,2359.0639323,-,-
1781907105000,2358.9960286,-,-
1781907156000,2358.9395313,-,-
1781907207000,2359.9521224,-,-
1781907258000,2360.5779167,-,-
1781907309000,2359.078776,-,-
1781907360000,2358.9880208,-,-
1781907411000,2359.1898958,-,-
1781907462000,2359.0286458,-,-
1781907513000,2359.1238802,-,-
1781907564000,2359.1566667,-,-
1781907615000,2359.0200521,-,-
1781907666000,2362.0601823,-,-
1781907717000,2387.0180859,-,-
1781907768000,2367.4064063,-,-
1781907819000,2361.0416146,-,-
1781907870000,2360.6846354,-,-
1781907921000,2360.7811979,-,-
1781907972000,2360.5092187,-,-
1781908023000,2360.4355078,-,-
1781908074000,2360.5034635,-,-
1781908125000,2360.376888,-,-
1781908176000,2361.84125,-,-
1781908227000,2361.7109115,-,-
1781908278000,2360.4132813,-,-
1781908329000,2360.5757031,-,-
1781908380000,2360.2875,-,-
1781908431000,2360.4010547,-,-
1781908482000,2360.1839323,-,-
