timestamp,minor (faults per second),major (faults per second),anomaly%,annotations
1781910369000,14363.3575521,0,-,-
1781910420000,13111.8875,0,-,-
1781910471000,14139.6481771,-0.0141667,-,-
1781910522000,13612.1379167,-0.0166667,-,-
1781910573000,13754.675625,-0.0075,-,-
1781910624000,13743.899375,-0.02,-,-
1781910675000,13502.2755208,-0.0375,-,-
1781910726000,14334.568125,0,-,-
1781910777000,13189.7544792,0,-,-
1781910828000,13615.0391667,-0.04,-,-
1781910879000,14019.7758333,-0.0283333,-,-
1781910930000,13892.2046875,-0.025,-,-
1781910981000,13756.3141146,-0.0275,-,-
1781911032000,13976.901875,-0.0133333,-,-
1781911083000,13786.4250521,-0.0008333,-,-
1781911134000,13645.1665625,-0.015,-,-
1781911185000,13616.8252604,-0.0041667,-,-
1781911236000,14004.3195833,-0.02,-,-
1781911287000,14581.3632292,-0.0633333,-,-
1781911338000,14785.0821875,-0.08,-,-
1781911389000,14131.5127083,-0.0408333,-,-
1781911440000,12842.8135417,-0.0833333,-,-
1781911491000,14502.6041146,-0.0125,-,-
1781911542000,13751.68875,-0.3733333,-,-
1781911593000,14056.9718229,-0.735,-,-
1781911644000,14009.3014583,-0.56,-,-
1781911695000,13373.946875,-0.1875,-,-
1781911746000,14327.3173958,-0.5416667,-,-
1781911797000,13255.0840104,-0.0458333,-,-
1781911848000,13568.945625,-0.0166667,-,-
1781911899000,13856.0720833,-0.0166667,-,-
1781911950000,16322.934375,-9.3666667,-,-
1781912001000,16744.5257292,-12.6266667,-,-
1781912052000,14957.6600595,-38.4454581,-,-
1781912103000,21879.0986161,-177.8703221,-,-
1781912154000,15878.6366964,-23.3351969,-,-
1781912205000,13680.3382813,-1.7386485,-,-
1781912256000,13884.27375,-0.44,-,-
1781912307000,13803.8351042,-0.5133333,-,-
1781912358000,13297.4171875,-0.8012006,-,-
1781912409000,13700.6438021,-0.8791903,-,-
1781912460000,13825.1041667,-0.4237757,-,-
1781912511000,13631.3882812,-0.6971156,-,-
1781912562000,17579.0182292,-2.2086887,-,-
1781912613000,15962.4184375,-2.7439731,-,-
1781912664000,13583.9920833,-1.8679557,-,-
1781912715000,14060.8023438,-0.6333333,-,-
1781912766000,13863.3825,-0.5,-,-
1781912817000,13049.518125,-0.2166667,-,-
1781912868000,14366.4295833,-0.2666667,-,-
1781912919000,13483.2230729,-0.1858333,-,-
1781912970000,13772.7546875,-0.1,-,-
1781913021000,14119.5823958,-0.1366667,-,-
1781913072000,13309.9591667,-0.2366667,-,-
1781913123000,14465.9816146,-0.1233333,-,-
1781913174000,13149.0190625,-0.2366667,-,-
1781913225000,14223.5276042,-0.225,-,-
1781913276000,14055.6783333,-0.1866667,-,-
1781913327000,13926.088125,-0.2266667,-,-
1781913378000,13956.1498958,-0.24,-,-
1781913429000,13373.2870312,-0.1014372,-,-
1781913480000,13802.2333333,-0.109581,-,-
1781913531000,13989.3386979,-0.2714362,-,-
1781913582000,13901.6422917,-0.1882937,-,-
1781913633000,13899.0497917,-0.0998557,-,-
1781913684000,13840.568125,-0.0753289,-,-
1781913735000,13861.5479167,-0.1486457,-,-
1781913786000,14423.3732292,-0.3698609,-,-
1781913837000,14889.0430729,-0.7119392,-,-
1781913888000,14143.8420833,-0.3197456,-,-
1781913939000,12881.1844271,-0.0975,-,-
1781913990000,13452.0598958,-0.3922846,-,-
