timestamp,minor (K faults/s),major (K faults/s),anomaly%,annotations
06:56:18,1.63,-0,-,-
06:57:09,1.57,-0,-,-
06:58:00,1.57,-0,-,-
06:58:51,1.57,-0,-,-
06:59:42,1.54,-0,-,-
07:00:33,1.59,-0,-,-
07:01:24,1.58,-0,-,-
07:02:15,1.53,-0,-,-
07:03:06,1.79,-0,-,-
07:03:57,3.4,-0,-,-
07:04:48,1.83,-0,-,-
07:05:39,1.52,-0,-,-
07:06:30,1.55,-0,-,-
07:07:21,1.5,-0,-,-
07:08:12,1.47,0,-,-
07:09:03,1.59,0,-,-
07:09:54,1.52,0,-,-
07:10:45,1.51,-0,-,-
07:11:36,1.56,-0,-,-
07:12:27,1.57,-0,-,-
07:13:18,1.53,-0,-,-
07:14:09,1.5,-0,-,-
07:15:00,1.64,0,-,-
07:15:51,1.57,0,-,-
07:16:42,1.49,0,-,-
07:17:33,1.53,0,-,-
07:18:24,1.57,0,-,-
07:19:15,1.5,0,-,-
07:20:06,1.41,-0,-,-
07:20:57,1.67,-0,-,-
07:21:48,1.57,-0,-,-
07:22:39,1.51,0,-,-
07:23:30,2.41,0,-,-
07:24:21,2.7,0,-,-
07:25:12,1.52,0,-,-
07:26:03,1.46,0,-,-
07:26:54,1.54,0,-,-
07:27:45,1.49,0,-,-
07:28:36,1.47,0,-,-
07:29:27,1.51,0,-,-
07:30:18,1.56,0,-,-
