timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781910675000,29.8128764,-71.7158061,-,-
1781910726000,26.0821151,-62.995848,-,-
1781910777000,29.2796313,-73.8773975,-,-
1781910828000,28.2653963,-71.7651514,-,-
1781910879000,27.1244451,-67.3718105,-,-
1781910930000,27.8161265,-69.9482931,-,-
1781910981000,28.6077443,-70.2845449,-,-
1781911032000,29.3871379,-65.2348047,-,-
1781911083000,34.8181293,-76.4062602,-,-
1781911134000,29.6215946,-74.8367554,-,-
1781911185000,26.7110555,-65.2130239,-,-
1781911236000,27.799515,-69.5880273,-,-
1781911287000,1072.8897681,-78.2329846,-,-
1781911338000,1701.3610205,-789.8817106,-,-
1781911389000,166.9042776,-2085.2997884,-,-
1781911440000,31.0538595,-75.098763,-,-
1781911491000,26.5618035,-63.9787701,-,-
1781911542000,28.1665009,-70.9995268,-,-
1781911593000,34.5395257,-85.6979163,-,-
1781911644000,33.7495369,-81.2927979,-,-
1781911695000,22.7558047,-48.7951658,-,-
1781911746000,13.6021361,-13.9266889,-,-
1781911797000,18.6272639,-38.2301772,-,-
1781911848000,19.7580534,-38.8766821,-,-
1781911899000,19.3425413,-35.6625407,-,-
1781911950000,930.1433563,-54.821873,-,-
1781912001000,6461.0888867,-151.4991471,-,-
1781912052000,12042.6305697,-240.6616138,-,-
1781912103000,48.5493615,-33.0417692,-,-
1781912154000,20.1567519,-24.6166284,-,-
1781912205000,15.3150754,-20.4497564,-,-
1781912256000,14.5834532,-16.9368394,-,-
1781912307000,14.7759705,-17.4938921,-,-
1781912358000,15.1053893,-19.5630684,-,-
1781912409000,14.999363,-18.8363708,-,-
1781912460000,15.644575,-22.8039714,-,-
1781912511000,16.2496319,-17.7618096,-,-
1781912562000,56207.6327553,-133.9946892,-,-
1781912613000,36483.8311654,-6567.5196167,-,-
1781912664000,748.7996354,-13646.1783333,-,-
1781912715000,845.4194661,-15076.5132812,-,-
1781912766000,668.3542448,-11263.2309375,-,-
1781912817000,756.2463477,-13366.2876563,-,-
1781912868000,883.5247526,-15994.104375,-,-
1781912919000,711.124235,-12806.5284375,-,-
1781912970000,307.4255402,-5382.0489558,-,-
1781913021000,12.9902643,-11.101474,-,-
1781913072000,12.9935057,-11.2266252,-,-
1781913123000,13.0663585,-11.3225711,-,-
1781913174000,13.4173796,-11.2075413,-,-
1781913225000,14.6982994,-11.5372869,-,-
1781913276000,13.8359707,-11.2490202,-,-
1781913327000,13.000147,-11.1015855,-,-
1781913378000,13.0086551,-11.2507241,-,-
1781913429000,13.066723,-11.2544313,-,-
1781913480000,13.5181549,-11.2593547,-,-
1781913531000,13.0482166,-11.2299924,-,-
1781913582000,14.4781711,-11.5913879,-,-
1781913633000,13.9573885,-11.4786643,-,-
1781913684000,12.9867757,-11.2567733,-,-
1781913735000,13.0971713,-11.2118665,-,-
1781913786000,1472.3425353,-751.5941866,-,-
1781913837000,13872.5765529,-7045.9460891,-,-
1781913888000,3246.3835156,-6908.1016667,-,-
1781913939000,152.5091446,-2380.9914208,-,-
1781913990000,14.1199473,-11.459083,-,-
1781914041000,13.2027309,-11.1650232,-,-
1781914092000,13.436391,-11.1293176,-,-
1781914143000,13.0257553,-11.2587026,-,-
1781914194000,12.9617961,-11.0448364,-,-
