timestamp,some 10 (percent),some 60 (percent),some 300 (percent),anomaly%,annotations
1781912007000,0.0329851,0.2429851,0.0834925,-,-
1781912016000,0.0093661,0.2087321,0.08,-,-
1781912025000,0,0.178732,0.076,-,-
1781912034000,0,0.1518658,0.07,-,-
1781912043000,0,0.1302391,0.07,-,-
1781912052000,0,0.1068661,0.06,-,-
1781912061000,0,0.0944926,0.06,-,-
1781912070000,1.0761956,0.3160001,0.1107073,-,-
1781912079000,1.675,0.55,0.17,-,-
1781912088000,-,-,-,-,-
1781912097000,6.2775,2.17,0.5625,-,-
1781912106000,3.860045,2.0317548,0.575,-,-
1781912115000,1.8912048,1.8267122,0.5654246,-,-
1781912124000,0.8375,1.5875,0.56,-,-
1781912133000,0.3560152,1.376549,0.5456166,-,-
1781912142000,0.141179,1.1782014,0.5295224,-,-
1781912151000,0.0560826,1.0215901,0.5114248,-,-
1781912160000,0.0170211,0.8696264,0.4925,-,-
1781912169000,0.0036165,0.7551238,0.476,-,-
1781912178000,0,0.6430828,0.4620207,-,-
1781912187000,0,0.5508497,0.4456166,-,-
1781912196000,0,0.4755892,0.4345223,-,-
1781912205000,0,0.4078506,0.4156169,-,-
1781912214000,0,0.345,0.4025,-,-
1781912223000,0,0.2988504,0.391,-,-
1781912232000,0,0.2565411,0.3795206,-,-
1781912241000,0,0.217,0.364,-,-
1781912250000,0,0.1845216,0.35,-,-
1781912259000,0,0.1576164,0.339,-,-
1781912268000,0,0.1345208,0.3295207,-,-
1781912277000,0,0.114,0.3184248,-,-
1781912286000,0,0.0970208,0.3070208,-,-
1781912295000,0,0.082,0.2912339,-,-
1781912304000,0,0.0675,0.28,-,-
1781912313000,0,0.056,0.274,-,-
1781912322000,0,0.0475,0.2675,-,-
1781912331000,0,0.04,0.259,-,-
1781912340000,0,0.03,0.25,-,-
1781912349000,0,0.026,0.2398082,-,-
1781912358000,0,0.02,0.23,-,-
1781912367000,0,0.019,0.2216165,-,-
1781912376000,0,0.01,0.2125,-,-
1781912385000,0,0.01,0.2084248,-,-
1781912394000,0,0.01,0.2,-,-
1781912403000,0,0.002,0.192,-,-
1781912412000,0,0,0.187021,-,-
1781912421000,0,0,0.18,-,-
1781912430000,0,0,0.1720206,-,-
1781912439000,0,0,0.1656166,-,-
1781912448000,0,0,0.16,-,-
1781912457000,0,0,0.152,-,-
1781912466000,0,0,0.1495208,-,-
1781912475000,0,0,0.14,-,-
1781912484000,0.0997811,0.0189353,0.14,-,-
1781912493000,0.0542329,0.02,0.1356164,-,-
1781912502000,0.015,0.0195213,0.13,-,-
1781912511000,0.002,0.01,0.1298083,-,-
1781912520000,0,0.01,0.12,-,-
1781912529000,0,0.01,0.12,-,-
1781912538000,0.7217721,0.156608,0.1469175,-,-
1781912547000,0.4283322,0.1696166,0.149,-,-
1781912556000,0.162125,0.1470208,0.14,-,-
1781912565000,0.135,0.136,0.139,-,-
1781912574000,0.5952206,0.2484559,0.162978,-,-
1781912583000,0.3328279,0.2343828,0.16,-,-
1781912592000,0.3162698,0.2420208,0.1645208,-,-
1781912601000,0.1804617,0.219148,0.16,-,-
1781912610000,0.1830828,0.2120207,0.16,-,-
1781912619000,0.0822331,0.1866166,0.156,-,-
1781912628000,0.0220209,0.155,0.15,-,-
1781912637000,0.0084251,0.136,0.142,-,-
1781912646000,0,0.1125,0.1370208,-,-
1781912655000,0,0.096,0.13,-,-
1781912664000,0,0.0795206,0.1275,-,-
1781912673000,0,0.066,0.12,-,-
1781912682000,0,0.0570208,0.12,-,-
1781912691000,0,0.049,0.112,-,-
1781912700000,0,0.04,0.11,-,-
