timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781910930000,0.0508789,0,-,-
1781910981000,0.0566667,0,-,-
1781911032000,0.0484766,0.0001693,-,-
1781911083000,0.0558822,0.000804,-,-
1781911134000,0.0595898,0.0000846,-,-
1781911185000,0.0504069,0.0001953,-,-
1781911236000,0.1034505,0.0010807,-,-
1781911287000,0.3879525,0.0008952,-,-
1781911338000,1.8286914,0.0000781,-,-
1781911389000,3.8223307,0.0002995,-,-
1781911440000,0.0615234,0.0005208,-,-
1781911491000,0.0721484,0.0000781,-,-
1781911542000,0.0874674,0,-,-
1781911593000,0.0743587,0,-,-
1781911644000,0.0600651,0,-,-
1781911695000,0.0592936,0,-,-
1781911746000,0.0505599,0,-,-
1781911797000,0.0398242,0,-,-
1781911848000,0.0698698,0,-,-
1781911899000,0.0628125,0.0000846,-,-
1781911950000,19.710026,0.000651,-,-
1781912001000,51.2244499,0.0011491,-,-
1781912052000,67.2402604,0.0008854,-,-
1781912103000,41.0744792,0,-,-
1781912154000,4.8388021,0,-,-
1781912205000,0.2307129,0,-,-
1781912256000,0.121237,0,-,-
1781912307000,0.1327865,0,-,-
1781912358000,0.1213281,0,-,-
1781912409000,0.0765853,0,-,-
1781912460000,0.1014323,0,-,-
1781912511000,0.098444,0,-,-
1781912562000,12.649974,0.0934245,-,-
1781912613000,23.6101009,0.2017839,-,-
1781912664000,16.9616276,0.1546094,-,-
1781912715000,0.130306,0,-,-
1781912766000,0.0978125,0,-,-
1781912817000,0.0664909,0,-,-
1781912868000,0.0839193,0,-,-
1781912919000,0.1199251,0,-,-
1781912970000,0.1201823,0,-,-
1781913021000,0.1019141,0,-,-
1781913072000,0.0823828,0,-,-
1781913123000,0.0182227,0,-,-
1781913174000,0.0369271,0,-,-
1781913225000,0.0391764,0,-,-
1781913276000,0.0408724,0,-,-
1781913327000,0.0536816,0,-,-
1781913378000,0.0666992,0,-,-
1781913429000,0.059196,0,-,-
1781913480000,0.0334635,0,-,-
1781913531000,0.0395508,0,-,-
1781913582000,0.0386198,0,-,-
1781913633000,0.0463184,0,-,-
1781913684000,0.0516797,0,-,-
