timestamp,some 10 (percent),some 60 (percent),some 300 (percent),anomaly%,annotations
1781909502000,0,0,0,-,-
1781909553000,0,0,0,-,-
1781909604000,0,0,0,-,-
1781909655000,0,0,0,-,-
1781909706000,0,0,0,-,-
1781909757000,0,0,0,-,-
1781909808000,0,0,0,-,-
1781909859000,0,0,0,-,-
1781909910000,0,0,0,-,-
1781909961000,0,0,0,-,-
1781910012000,0,0,0,-,-
1781910063000,0,0,0,-,-
1781910114000,0,0,0,-,-
1781910165000,0,0,0,-,-
1781910216000,0,0,0,-,-
1781910267000,0,0,0,-,-
1781910318000,0,0,0,-,-
1781910369000,0,0,0,-,-
1781910420000,0,0,0,-,-
1781910471000,0,0,0,-,-
1781910522000,0,0,0,-,-
1781910573000,0,0,0,-,-
1781910624000,0,0,0,-,-
1781910675000,0,0,0,-,-
1781910726000,0,0,0,-,-
1781910777000,0,0,0,-,-
1781910828000,0,0,0,-,-
1781910879000,0,0,0,-,-
1781910930000,0,0,0,-,-
1781910981000,0,0,0,-,-
1781911032000,0,0,0,-,-
1781911083000,0,0,0,-,-
1781911134000,0,0,0,-,-
1781911185000,0,0,0,-,-
1781911236000,0,0,0,-,-
1781911287000,0,0,0,-,-
1781911338000,0,0,0,-,-
1781911389000,0,0,0,-,-
1781911440000,0,0,0,-,-
1781911491000,0,0,0,-,-
1781911542000,0,0,0,-,-
1781911593000,0,0,0,-,-
1781911644000,0,0,0,-,-
1781911695000,0,0,0,-,-
1781911746000,0,0,0,-,-
1781911797000,0,0,0,-,-
1781911848000,0,0,0,-,-
1781911899000,0,0,0,-,-
1781911950000,0,0,0,-,-
1781912001000,0.1532505,0.0706828,0.0134615,-,-
1781912052000,0.0004,0.0359102,0.0056,-,-
1781912103000,0.7609191,0.3496017,0.0841321,-,-
1781912154000,0.1088177,0.3863271,0.1448,-,-
1781912205000,0,0.1599242,0.1175,-,-
1781912256000,0,0.0610425,0.0915212,-,-
1781912307000,0,0.0184615,0.0680769,-,-
1781912358000,0,0.0023212,0.0544,-,-
1781912409000,0,0,0.0423077,-,-
1781912460000,0,0,0.0292,-,-
1781912511000,0,0,0.0168473,-,-
1781912562000,0,0,0.0044,-,-
1781912613000,0,0,0,-,-
1781912664000,0,0,0,-,-
1781912715000,0,0,0,-,-
1781912766000,0,0,0,-,-
1781912817000,0,0,0,-,-
1781912868000,0,0,0,-,-
1781912919000,0,0,0,-,-
1781912970000,0,0,0,-,-
1781913021000,0,0,0,-,-
1781913072000,0,0,0,-,-
1781913123000,0,0,0,-,-
1781913174000,0,0,0,-,-
1781913225000,0,0,0,-,-
1781913276000,0,0,0,-,-
1781913327000,0,0,0,-,-
1781913378000,0,0,0,-,-
1781913429000,0,0,0,-,-
1781913480000,0,0,0,-,-
1781913531000,0,0,0,-,-
1781913582000,0,0,0,-,-
1781913633000,0,0,0,-,-
1781913684000,0,0,0,-,-
1781913735000,0,0,0,-,-
1781913786000,0,0,0,-,-
1781913837000,0.1117994,0.0600408,0.009155,-,-
1781913888000,0,0.0184,0,-,-
1781913939000,0.0752813,0.0440737,0.003077,-,-
1781913990000,0,0.0159212,0,-,-
1781914041000,0,0.0003846,0,-,-
1781914092000,0,0,0,-,-
1781914143000,0,0,0,-,-
1781914194000,0,0,0,-,-
1781914245000,0,0,0,-,-
1781914296000,0,0,0,-,-
1781914347000,0.074102,0.0372319,0.0030769,-,-
1781914398000,0,0.0096,0,-,-
1781914449000,0,0,0,-,-
1781914500000,0,0,0,-,-
1781914551000,0,0,0,-,-
1781914602000,0,0,0,-,-
1781914653000,0,0,0,-,-
1781914704000,0,0,0,-,-
1781914755000,0,0,0,-,-
1781914806000,0,0,0,-,-
1781914857000,0,0,0,-,-
1781914908000,0,0,0,-,-
1781914959000,0,0,0,-,-
1781915010000,0,0,0,-,-
1781915061000,0,0,0,-,-
1781915112000,0,0,0,-,-
1781915163000,0,0,0,-,-
1781915214000,0,0,0,-,-
1781915265000,0,0,0,-,-
1781915316000,0,0,0,-,-
1781915367000,0,0,0,-,-
1781915418000,0,0,0,-,-
