timestamp,avail (mebibytes),anomaly%,annotations
1781906391000,2669.4004818,-,-
1781906442000,2667.0421354,-,-
1781906493000,2662.1184245,-,-
1781906544000,2655.9965104,-,-
1781906595000,2654.0215495,-,-
1781906646000,2660.3875781,-,-
1781906697000,2669.2711849,-,-
1781906748000,2674.4075,-,-
1781906799000,2671.3674219,-,-
1781906850000,2667.328125,-,-
1781906901000,2665.0426562,-,-
1781906952000,2664.0917708,-,-
1781907003000,2663.898099,-,-
1781907054000,2661.5902604,-,-
1781907105000,2659.4080078,-,-
1781907156000,2659.3389063,-,-
1781907207000,2658.9370964,-,-
1781907258000,2659.8256771,-,-
1781907309000,2665.1939323,-,-
1781907360000,2671.2541667,-,-
1781907411000,2672.6856641,-,-
1781907462000,2668.5995573,-,-
1781907513000,2667.133125,-,-
1781907564000,2667.1113542,-,-
1781907615000,2666.4673177,-,-
1781907666000,2665.4334896,-,-
1781907717000,2659.9363802,-,-
1781907768000,2642.7571875,-,-
1781907819000,2643.9013281,-,-
1781907870000,2646.8481771,-,-
1781907921000,2650.918125,-,-
1781907972000,2657.3229687,-,-
1781908023000,2652.9716536,-,-
1781908074000,2649.6520052,-,-
1781908125000,2646.8345052,-,-
1781908176000,2647.2753646,-,-
1781908227000,2648.0447266,-,-
1781908278000,2645.0778385,-,-
1781908329000,2640.9872786,-,-
1781908380000,2656.0041667,-,-
1781908431000,2658.1446615,-,-
1781908482000,2655.9898177,-,-
1781908533000,2655.5058464,-,-
1781908584000,2656.7117708,-,-
1781908635000,2657.7886719,-,-
1781908686000,2657.637526,-,-
1781908737000,2656.1967318,-,-
1781908788000,2659.1719792,-,-
1781908839000,2658.9479297,-,-
1781908890000,2654.1588542,-,-
1781908941000,2635.3747005,-,-
1781908992000,2616.6065104,-,-
1781909043000,2649.4110417,-,-
1781909094000,2648.6911979,-,-
1781909145000,2655.1160807,-,-
1781909196000,2656.46375,-,-
1781909247000,2654.6040625,-,-
1781909298000,2654.2423698,-,-
1781909349000,2656.8028646,-,-
1781909400000,2654.8992187,-,-
1781909451000,2667.3291406,-,-
1781909502000,2676.4141927,-,-
1781909553000,2682.0816146,-,-
1781909604000,2683.1229167,-,-
1781909655000,2684.7732422,-,-
1781909706000,2695.1041406,-,-
1781909757000,2695.7303516,-,-
1781909808000,2687.6142708,-,-
1781909859000,2679.0386328,-,-
1781909910000,2675.7709635,-,-
1781909961000,2674.0348177,-,-
1781910012000,2670.0328125,-,-
1781910063000,2668.9716927,-,-
1781910114000,2671.9347396,-,-
1781910165000,2671.7833333,-,-
1781910216000,2669.5663542,-,-
1781910267000,2667.0585417,-,-
1781910318000,2670.3325,-,-
1781910369000,2680.7688021,-,-
1781910420000,2678.1807292,-,-
1781910471000,2680.4845833,-,-
1781910522000,2675.5523698,-,-
1781910573000,2669.6732812,-,-
1781910624000,2668.4093229,-,-
1781910675000,2670.4554036,-,-
1781910726000,2668.9677865,-,-
1781910777000,2668.1848568,-,-
1781910828000,2670.8748437,-,-
1781910879000,2663.1496484,-,-
1781910930000,2676.6057292,-,-
1781910981000,2691.5724609,-,-
1781911032000,2684.205625,-,-
1781911083000,2676.7074219,-,-
1781911134000,2669.1304687,-,-
1781911185000,2668.1666016,-,-
1781911236000,2671.5916667,-,-
1781911287000,2681.0255208,-,-
1781911338000,2685.0722656,-,-
1781911389000,2673.7721224,-,-
1781911440000,2671.5260417,-,-
1781911491000,2667.0750521,-,-
1781911542000,2661.9610677,-,-
1781911593000,2645.4913151,-,-
1781911644000,2628.2610417,-,-
1781911695000,2625.1329427,-,-
1781911746000,2640.4878385,-,-
1781911797000,2649.0858984,-,-
1781911848000,2658.9197917,-,-
1781911899000,2660.2099609,-,-
1781911950000,2649.5046875,-,-
1781912001000,2637.2070052,-,-
1781912052000,2642.3991146,-,-
1781912103000,2679.8620833,-,-
1781912154000,2691.7240104,-,-
1781912205000,2687.6501953,-,-
1781912256000,2679.6808333,-,-
1781912307000,2673.4622396,-,-
1781912358000,2669.3190885,-,-
1781912409000,2670.3646484,-,-
1781912460000,2696.7932292,-,-
1781912511000,2697.1901172,-,-
1781912562000,2692.6897396,-,-
1781912613000,2652.3872526,-,-
1781912664000,2623.0694792,-,-
1781912715000,2630.2492187,-,-
1781912766000,2641.8990625,-,-
1781912817000,2636.4192188,-,-
1781912868000,2630.8360417,-,-
1781912919000,2651.3154688,-,-
1781912970000,2684.3351563,-,-
1781913021000,2705.9042839,-,-
1781913072000,2706.5069792,-,-
1781913123000,2707.2566667,-,-
1781913174000,2715.0111458,-,-
1781913225000,2710.6308594,-,-
1781913276000,2713.3841667,-,-
1781913327000,2715.6451302,-,-
1781913378000,2713.854401,-,-
1781913429000,2711.6490365,-,-
1781913480000,2710.6976562,-,-
