timestamp,Active (mebibytes),Inactive (mebibytes),Active(anon) (mebibytes),Inactive(anon) (mebibytes),Active(file) (mebibytes),Inactive(file) (mebibytes),Unevictable (mebibytes),Mlocked (mebibytes),anomaly%,annotations
1781903229000,1347.9109375,225.2386654,706.1374447,1.40625,641.7734375,223.8324154,26.90625,26.90625,-,-
1781903280000,1348.25625,225.3939453,706.4828125,1.40625,641.7734375,223.9876953,26.90625,26.90625,-,-
1781903331000,1348.3647135,225.5362207,706.5912207,1.40625,641.7734375,224.1299707,26.90625,26.90625,-,-
1781903382000,1348.2423958,225.6778125,706.4689844,1.40625,641.7734375,224.2715625,26.90625,26.90625,-,-
1781903433000,1348.0677604,225.8195085,706.2943522,1.40625,641.7734375,224.4132585,26.90625,26.90625,-,-
1781903484000,1348.0035417,225.9606641,706.2301302,1.40625,641.7734375,224.5544141,26.90625,26.90625,-,-
1781903535000,1348.0921549,226.1009277,706.3187663,1.40625,641.7734375,224.6946777,26.90625,26.90625,-,-
1781903586000,1348.2333724,226.2419922,706.4599284,1.40625,641.7734375,224.8357422,26.90625,26.90625,-,-
1781903637000,1348.2857227,226.3914062,706.5122233,1.40625,641.7734375,224.9851562,26.90625,26.90625,-,-
1781903688000,1348.4357812,226.5323828,706.6623307,1.40625,641.7734375,225.1261328,26.90625,26.90625,-,-
1781903739000,1348.5018945,226.6768522,706.7284993,1.40625,641.7734375,225.2706022,26.90625,26.90625,-,-
1781903790000,1348.5236328,226.8205078,706.7502279,1.40625,641.7734375,225.4142578,26.90625,26.90625,-,-
1781903841000,1348.3839974,226.9643685,706.6105599,1.40625,641.7734375,225.5581185,26.90625,26.90625,-,-
1781903892000,1348.0266927,227.1119922,706.2532552,1.40625,641.7734375,225.7057422,26.90625,26.90625,-,-
1781903943000,1347.6913346,227.2634863,705.9178971,1.40625,641.7734375,225.8572363,26.90625,26.90625,-,-
1781903994000,1347.9048307,227.4031055,706.1313932,1.40625,641.7734375,225.9968555,26.90625,26.90625,-,-
1781904045000,1348.0959635,227.5464844,706.3225749,1.40625,641.7734375,226.1402344,26.90625,26.90625,-,-
1781904096000,1367.0173177,850.5655208,725.2384375,1.40625,641.7789062,849.1592708,26.90625,26.90625,-,-
1781904147000,1393.0062435,1495.457806,751.2189746,1.40625,641.7872396,1494.051556,26.90625,26.90625,-,-
1781904198000,1409.4630208,1746.1830859,767.6700065,1.40625,641.7929688,1744.7768359,26.90625,26.90625,-,-
1781904249000,1409.7595182,1665.3770964,767.9105924,1.40625,641.8489258,1663.9708464,26.90625,26.90625,-,-
1781904300000,1410.5822917,1602.3679688,768.416276,1.40625,642.1660156,1600.9617188,26.90625,26.90625,-,-
1781904351000,1410.9034766,1527.2653776,768.5930827,1.40625,642.3104492,1525.8591276,26.90625,26.90625,-,-
1781904402000,1411.0721745,1450.8605859,768.7362565,1.40625,642.3359375,1449.4543359,26.90625,26.90625,-,-
1781904453000,1400.8289518,1195.9269434,758.4712435,1.40625,642.3577083,1194.5206934,26.90625,26.90625,-,-
1781904504000,1376.0016667,699.3747526,733.5920052,1.40625,642.4096875,697.9685026,26.90625,26.90625,-,-
1781904555000,1351.4395182,234.2459635,708.9786133,1.40625,642.4609375,232.8397135,26.90625,26.90625,-,-
1781904606000,1351.5734896,234.3897917,709.112487,1.40625,642.4609375,232.9835417,26.90625,26.90625,-,-
1781904657000,1351.4721094,234.531569,709.0111068,1.40625,642.4609375,233.125319,26.90625,26.90625,-,-
1781904708000,1351.2690625,234.6715234,708.8080599,1.40625,642.4609375,233.2652734,26.90625,26.90625,-,-
1781904759000,1351.3365885,234.8117025,708.8756706,1.40625,642.4609375,233.4054525,26.90625,26.90625,-,-
1781904810000,1351.3834635,234.9522461,708.9225911,1.40625,642.4609375,233.5459961,26.90625,26.90625,-,-
1781904861000,1351.3931055,235.0934505,708.9322103,1.40625,642.4609375,233.6872005,26.90625,26.90625,-,-
1781904912000,1351.4667708,235.2390495,709.0058203,1.40625,642.4609375,233.8327995,26.90625,26.90625,-,-
1781904963000,1351.5633333,235.3959342,709.1023307,1.40625,642.4609375,233.9896842,26.90625,26.90625,-,-
1781905014000,1351.4358333,235.5404232,708.9748307,1.40625,642.4609375,234.1341732,26.90625,26.90625,-,-
1781905065000,1351.367806,235.6817871,708.9068522,1.40625,642.4609375,234.2755371,26.90625,26.90625,-,-
1781905116000,1351.4105208,235.8221094,708.9496224,1.40625,642.4609375,234.4158594,26.90625,26.90625,-,-
1781905167000,1351.4670117,235.9627865,709.00611,1.40625,642.4609375,234.5565365,26.90625,26.90625,-,-
1781905218000,1351.552513,236.1054948,709.091556,1.40625,642.4609375,234.6992448,26.90625,26.90625,-,-
1781905269000,1352.760026,237.3917057,710.2960547,1.40625,642.4639063,235.9854557,26.90625,26.90625,-,-
1781905320000,1358.734375,244.0015625,716.2535807,1.40625,642.4807292,242.5953125,26.90625,26.90625,-,-
1781905371000,1353.081543,237.7200846,710.564502,1.40625,642.5170313,236.3138346,26.90625,26.90625,-,-
1781905422000,1352.6103516,236.726888,709.3442578,1.40625,643.2660937,235.320638,26.90625,26.90625,-,-
1781905473000,1352.906263,236.8658919,709.2801725,1.40625,643.6260547,235.4596419,26.90625,26.90625,-,-
1781905524000,1353.0936979,237.0083854,709.4335026,1.40625,643.6601562,235.6021354,26.90625,26.90625,-,-
1781905575000,1353.3660156,237.1537272,709.7058431,1.40625,643.6601562,235.7474772,26.90625,26.90625,-,-
1781905626000,1353.5904297,237.2960547,709.9302148,1.40625,643.6601562,235.8898047,26.90625,26.90625,-,-
1781905677000,1353.5223633,237.4462435,709.8622038,1.40625,643.6601562,236.0399935,26.90625,26.90625,-,-
1781905728000,1353.3590885,237.588724,709.6988802,1.40625,643.6601562,236.182474,26.90625,26.90625,-,-
1781905779000,1353.5098698,237.7302148,709.8496908,1.40625,643.6601562,236.3239648,26.90625,26.90625,-,-
1781905830000,1353.743099,237.8751628,710.0829753,1.40625,643.6601562,236.4689128,26.90625,26.90625,-,-
1781905881000,1353.8849089,238.0203385,710.2248177,1.40625,643.6601562,236.6140885,26.90625,26.90625,-,-
1781905932000,1353.9404167,238.1619141,710.2803125,1.40625,643.6601562,236.7556641,26.90625,26.90625,-,-
1781905983000,1354.1175781,238.3028646,710.4574219,1.40625,643.6601562,236.8966146,26.90625,26.90625,-,-
1781906034000,1354.7705729,238.4500651,711.1104167,1.40625,643.6601562,237.0438151,26.90625,26.90625,-,-
1781906085000,1354.2783529,238.592334,710.6181966,1.40625,643.6601562,237.186084,26.90625,26.90625,-,-
1781906136000,1354.1685156,238.7360547,710.5083594,1.40625,643.6601562,237.3298047,26.90625,26.90625,-,-
1781906187000,1354.2509831,238.8786621,710.5908561,1.40625,643.6601562,237.4724121,26.90625,26.90625,-,-
1781906238000,1354.3532031,239.0195182,710.6930729,1.40625,643.6601562,237.6132682,26.90625,26.90625,-,-
1781906289000,1354.5070443,239.1621777,710.8468424,1.40625,643.6601562,237.7559277,26.90625,26.90625,-,-
1781906340000,1354.4997396,239.3130859,710.8396484,1.40625,643.6601562,237.9068359,26.90625,26.90625,-,-
1781906391000,1354.9337044,239.4538118,711.2735579,1.40625,643.6601562,238.0475618,26.90625,26.90625,-,-
1781906442000,1355.1074479,239.5972266,711.4472917,1.40625,643.6601562,238.1909766,26.90625,26.90625,-,-
1781906493000,1361.8488477,246.7338444,718.157181,1.40625,643.6916309,245.3275944,26.90625,26.90625,-,-
1781906544000,1362.4450521,247.5245182,718.6801823,1.40625,643.7648047,246.1182682,26.90625,26.90625,-,-
1781906595000,1355.1797526,240.0562174,711.3437663,1.40625,643.8359375,238.6499674,26.90625,26.90625,-,-
1781906646000,1355.3560807,240.1997396,711.5201432,1.40625,643.8359375,238.7934896,26.90625,26.90625,-,-
1781906697000,1355.252819,240.3513672,711.4168815,1.40625,643.8359375,238.9451172,26.90625,26.90625,-,-
1781906748000,1355.248099,240.4941927,711.4122135,1.40625,643.8359375,239.0879427,26.90625,26.90625,-,-
1781906799000,1355.3313802,240.6363835,711.4954232,1.40625,643.8359375,239.2301335,26.90625,26.90625,-,-
1781906850000,1355.4750651,240.7775716,711.6390951,1.40625,643.8359375,239.3713216,26.90625,26.90625,-,-
1781906901000,1355.4617057,240.9174837,711.6257682,1.40625,643.8359375,239.5112337,26.90625,26.90625,-,-
1781906952000,1355.2449219,241.0597656,711.4089844,1.40625,643.8359375,239.6535156,26.90625,26.90625,-,-
1781907003000,1355.217832,241.2121908,711.3818945,1.40625,643.8359375,239.8059408,26.90625,26.90625,-,-
1781907054000,1355.306263,241.359668,711.4703255,1.40625,643.8359375,239.953418,26.90625,26.90625,-,-
1781907105000,1355.2533854,241.5015788,711.4173991,1.40625,643.8359375,240.0953288,26.90625,26.90625,-,-
1781907156000,1355.285651,241.6434896,711.4496875,1.40625,643.8359375,240.2372396,26.90625,26.90625,-,-
1781907207000,1355.3597786,241.7841862,711.5238411,1.40625,643.8359375,240.3779362,26.90625,26.90625,-,-
1781907258000,1355.2852995,241.9242122,711.449362,1.40625,643.8359375,240.5179622,26.90625,26.90625,-,-
1781907309000,1354.9983789,242.0679915,711.1624414,1.40625,643.8359375,240.6617415,26.90625,26.90625,-,-
