timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781910879000,27.1245305,-67.3721474,-,-
1781910930000,27.8162699,-69.9488546,-,-
1781910981000,28.6077464,-70.2845449,-,-
1781911032000,29.3871387,-65.2348047,-,-
1781911083000,34.8181254,-76.4062602,-,-
1781911134000,29.6215942,-74.8367554,-,-
1781911185000,26.711054,-65.2130239,-,-
1781911236000,27.7995154,-69.5880273,-,-
1781911287000,1072.8755895,-78.232937,-,-
1781911338000,1701.3484066,-789.8817147,-,-
1781911389000,166.9310338,-2085.3000098,-,-
1781911440000,31.0538595,-75.098763,-,-
1781911491000,26.5618035,-63.9787701,-,-
1781911542000,28.1665023,-70.9995325,-,-
1781911593000,34.5395266,-85.6979199,-,-
1781911644000,33.7495369,-81.2927979,-,-
1781911695000,22.7558024,-48.7951627,-,-
1781911746000,13.6021289,-13.9266788,-,-
1781911797000,18.6272732,-38.2301843,-,-
1781911848000,19.7580261,-38.8765145,-,-
1781911899000,19.342543,-35.6625989,-,-
1781911950000,930.136792,-54.8218526,-,-
1781912001000,6461.0763281,-151.4989429,-,-
1781912052000,12042.6213916,-240.6615002,-,-
1781912103000,48.5493074,-33.0417248,-,-
1781912154000,20.1567471,-24.6166237,-,-
1781912205000,15.3150406,-20.4495992,-,-
1781912256000,14.5834595,-16.9368764,-,-
1781912307000,14.7759952,-17.4940047,-,-
1781912358000,15.1053891,-19.5630573,-,-
1781912409000,14.9993539,-18.8363265,-,-
1781912460000,15.6445719,-22.8039408,-,-
1781912511000,16.2496297,-17.7618111,-,-
1781912562000,56207.6327547,-133.9947369,-,-
1781912613000,36483.8305566,-6567.5070418,-,-
1781912664000,748.7988672,-13646.1633333,-,-
1781912715000,845.4192546,-15076.5114583,-,-
1781912766000,668.3542188,-11263.233125,-,-
1781912817000,756.2466536,-13366.2907292,-,-
1781912868000,883.5248177,-15994.105,-,-
1781912919000,711.1249967,-12806.5419792,-,-
1781912970000,307.4261215,-5382.0593679,-,-
1781913021000,12.990259,-11.1014691,-,-
1781913072000,12.9935085,-11.2266288,-,-
1781913123000,13.0663642,-11.3225768,-,-
1781913174000,13.4173783,-11.2075401,-,-
1781913225000,14.6982989,-11.5372864,-,-
1781913276000,13.8359707,-11.2490208,-,-
1781913327000,13.0001475,-11.101586,-,-
1781913378000,13.0086558,-11.2507238,-,-
1781913429000,13.066723,-11.2544304,-,-
1781913480000,13.5181549,-11.2593547,-,-
1781913531000,13.0482166,-11.2299932,-,-
1781913582000,14.4781711,-11.5913875,-,-
1781913633000,13.9573885,-11.4786644,-,-
1781913684000,12.9867753,-11.2567735,-,-
1781913735000,13.0971708,-11.2118655,-,-
1781913786000,1472.3425362,-751.5928836,-,-
1781913837000,13872.5765529,-7045.9337192,-,-
1781913888000,3246.3840885,-6908.1090625,-,-
1781913939000,152.5093933,-2380.9957952,-,-
1781913990000,14.1199458,-11.459082,-,-
1781914041000,13.2027309,-11.1650229,-,-
1781914092000,13.4363908,-11.1293182,-,-
1781914143000,13.0257544,-11.2587017,-,-
1781914194000,12.9617969,-11.0448372,-,-
1781914245000,12.9633583,-11.0393606,-,-
1781914296000,14.3312691,-11.4768129,-,-
1781914347000,16.9362162,-12.2556409,-,-
1781914398000,17.1873014,-12.4486731,-,-
1781914449000,12.957903,-11.4436827,-,-
1781914500000,13.063859,-11.140392,-,-
1781914551000,13.0227961,-11.2476165,-,-
1781914602000,13.0448189,-11.4057694,-,-
1781914653000,13.259617,-11.2695247,-,-
1781914704000,14.1027393,-11.3563883,-,-
1781914755000,14.5711024,-11.6175644,-,-
1781914806000,12.9325714,-11.2860533,-,-
1781914857000,12.9815893,-11.2620052,-,-
1781914908000,12.9843286,-11.3508177,-,-
1781914959000,13.3474142,-11.346387,-,-
1781915010000,1600.5894394,-1523.9948339,-,-
1781915061000,2077.2441108,-1977.8214885,-,-
1781915112000,14.6714138,-11.3231517,-,-
1781915163000,13.0034938,-10.9800052,-,-
1781915214000,12.9672729,-11.1319329,-,-
1781915265000,13.3655279,-11.2227277,-,-
1781915316000,13.1878109,-11.2298307,-,-
1781915367000,13.4838227,-11.2446961,-,-
1781915418000,13.7451471,-11.1871375,-,-
