timestamp,received (packets per second),sent (packets per second),anomaly%,annotations
1781911593000,16.2574862,-15.0391494,-,-
1781911644000,15.7681812,-14.5172707,-,-
1781911695000,10.6185318,-9.6696687,-,-
1781911746000,5.7873482,-5.5274759,-,-
1781911797000,8.7586198,-8.0673368,-,-
1781911848000,9.1016817,-8.592308,-,-
1781911899000,8.6633194,-8.0619771,-,-
1781911950000,86.169264,-29.8941419,-,-
1781912001000,546.8659237,-212.0983459,-,-
1781912052000,1009.2911692,-410.2698199,-,-
1781912103000,13.9892542,-13.7540845,-,-
1781912154000,7.7837536,-7.5767171,-,-
1781912205000,6.5172525,-6.5650009,-,-
1781912256000,6.0923508,-6.2215594,-,-
1781912307000,6.2063607,-6.2990565,-,-
1781912358000,6.4817529,-6.5228696,-,-
1781912409000,6.4005076,-6.3589659,-,-
1781912460000,6.7925405,-6.4000051,-,-
1781912511000,6.3204387,-6.0112103,-,-
1781912562000,4726.941138,-172.4869856,-,-
1781912613000,3755.890332,-649.8261361,-,-
1781912664000,1515.3423177,-1134.7375391,-,-
1781912715000,1701.7420573,-1252.1552734,-,-
1781912766000,1343.3297786,-937.2517578,-,-
1781912817000,1547.8230664,-1109.484668,-,-
1781912868000,1809.385,-1326.4932031,-,-
1781912919000,1450.7989453,-1062.738724,-,-
1781912970000,614.7282247,-448.9822207,-,-
1781913021000,5.3333027,-5.209686,-,-
1781913072000,5.350023,-5.4496737,-,-
1781913123000,5.4133444,-5.56001,-,-
1781913174000,5.3566751,-5.4466746,-,-
1781913225000,5.5096711,-5.5402082,-,-
1781913276000,5.4251883,-5.2148369,-,-
1781913327000,5.3350222,-5.1416011,-,-
1781913378000,5.3209215,-5.3812506,-,-
1781913429000,5.310853,-5.4635168,-,-
1781913480000,5.466688,-5.4666906,-,-
1781913531000,5.2966305,-5.4839657,-,-
1781913582000,5.4999975,-5.6218378,-,-
1781913633000,5.4604506,-5.5899906,-,-
1781913684000,5.334424,-5.5248217,-,-
1781913735000,5.3541805,-5.4467813,-,-
1781913786000,211.9924389,-70.2416125,-,-
1781913837000,1967.4610961,-623.2999681,-,-
1781913888000,1070.6842188,-583.8825521,-,-
1781913939000,290.9012138,-201.7357352,-,-
1781913990000,5.4944003,-5.5045982,-,-
1781914041000,5.4083311,-5.2710926,-,-
1781914092000,5.4825824,-5.1944744,-,-
1781914143000,5.345873,-5.5183458,-,-
1781914194000,5.3379531,-5.1059374,-,-
1781914245000,5.2801622,-5.0671673,-,-
1781914296000,5.4877448,-5.4214251,-,-
1781914347000,6.0488433,-5.9980095,-,-
1781914398000,6.1850334,-6.3267034,-,-
1781914449000,5.3508361,-5.9916698,-,-
1781914500000,5.4499924,-5.2833252,-,-
1781914551000,5.4043346,-5.4958373,-,-
1781914602000,5.4364745,-5.8249815,-,-
1781914653000,5.3966826,-5.5650054,-,-
1781914704000,5.4700189,-5.451512,-,-
1781914755000,5.5666691,-5.6852001,-,-
1781914806000,5.3166652,-5.4840568,-,-
1781914857000,5.3166099,-5.5218444,-,-
1781914908000,5.3166746,-5.6721958,-,-
1781914959000,5.4466807,-5.6755844,-,-
1781915010000,303.6167033,-135.1250234,-,-
1781915061000,393.0700404,-173.8136157,-,-
1781915112000,5.5433129,-5.1985299,-,-
1781915163000,5.379928,-5.1138876,-,-
1781915214000,5.3233949,-5.4146889,-,-
1781915265000,5.4041612,-5.4999945,-,-
1781915316000,5.3933311,-5.5544275,-,-
1781915367000,5.395013,-5.5529834,-,-
1781915418000,5.3668624,-5.3792958,-,-
