timestamp,4k (mebibytes),2m (mebibytes),1g (mebibytes),anomaly%,annotations
1781909757000,171.8125,2900,3072,-,-
1781909808000,171.8125,2900,3072,-,-
1781909859000,171.8125,2900,3072,-,-
1781909910000,171.8125,2900,3072,-,-
1781909961000,171.8125,2900,3072,-,-
1781910012000,171.8125,2900,3072,-,-
1781910063000,171.8125,2900,3072,-,-
1781910114000,171.8125,2900,3072,-,-
1781910165000,171.8125,2900,3072,-,-
1781910216000,171.8125,2900,3072,-,-
1781910267000,171.8125,2900,3072,-,-
1781910318000,171.8125,2900,3072,-,-
1781910369000,171.8125,2900,3072,-,-
1781910420000,171.8125,2900,3072,-,-
1781910471000,171.8125,2900,3072,-,-
1781910522000,171.8125,2900,3072,-,-
1781910573000,171.8125,2900,3072,-,-
1781910624000,171.8125,2900,3072,-,-
1781910675000,171.8125,2900,3072,-,-
1781910726000,171.8125,2900,3072,-,-
1781910777000,171.8125,2900,3072,-,-
1781910828000,171.8125,2900,3072,-,-
1781910879000,171.8125,2900,3072,-,-
1781910930000,171.8125,2900,3072,-,-
1781910981000,171.8125,2900,3072,-,-
1781911032000,171.8125,2900,3072,-,-
1781911083000,171.8125,2900,3072,-,-
1781911134000,171.8125,2900,3072,-,-
1781911185000,171.8125,2900,3072,-,-
1781911236000,171.8125,2900,3072,-,-
1781911287000,171.8125,2900,3072,-,-
1781911338000,171.8125,2900,3072,-,-
1781911389000,171.8125,2900,3072,-,-
1781911440000,171.8125,2900,3072,-,-
1781911491000,171.8125,2900,3072,-,-
1781911542000,171.8125,2900,3072,-,-
1781911593000,171.8125,2900,3072,-,-
1781911644000,171.8125,2900,3072,-,-
1781911695000,171.8125,2900,3072,-,-
1781911746000,171.8125,2900,3072,-,-
1781911797000,171.8125,2900,3072,-,-
1781911848000,171.8125,2900,3072,-,-
1781911899000,171.8125,2900,3072,-,-
1781911950000,171.8125,2900,3072,-,-
1781912001000,171.8125,2900,3072,-,-
1781912052000,172.9553571,3103.6571429,2867.2,-,-
1781912103000,177.5410714,3918.2714286,2048,-,-
1781912154000,177.7839286,3918.0285714,2048,-,-
1781912205000,177.8125,3918,2048,-,-
1781912256000,177.8125,3918,2048,-,-
1781912307000,177.8125,3918,2048,-,-
1781912358000,177.8125,3918,2048,-,-
1781912409000,177.8125,3918,2048,-,-
1781912460000,177.8125,3918,2048,-,-
1781912511000,177.8125,3918,2048,-,-
1781912562000,177.8125,3918,2048,-,-
1781912613000,177.8125,3918,2048,-,-
1781912664000,177.8125,3918,2048,-,-
1781912715000,177.8125,3918,2048,-,-
1781912766000,177.8125,3918,2048,-,-
1781912817000,177.8125,3918,2048,-,-
1781912868000,177.8125,3918,2048,-,-
1781912919000,177.8125,3918,2048,-,-
1781912970000,177.8125,3918,2048,-,-
1781913021000,177.8125,3918,2048,-,-
1781913072000,177.8125,3918,2048,-,-
1781913123000,177.8125,3918,2048,-,-
1781913174000,177.8125,3918,2048,-,-
1781913225000,177.8125,3918,2048,-,-
1781913276000,177.8125,3918,2048,-,-
1781913327000,177.8125,3918,2048,-,-
1781913378000,177.8125,3918,2048,-,-
1781913429000,177.8125,3918,2048,-,-
1781913480000,177.8125,3918,2048,-,-
1781913531000,177.8125,3918,2048,-,-
1781913582000,177.8125,3918,2048,-,-
1781913633000,177.8125,3918,2048,-,-
1781913684000,177.8125,3918,2048,-,-
1781913735000,177.8125,3918,2048,-,-
1781913786000,177.8125,3918,2048,-,-
1781913837000,177.8125,3918,2048,-,-
1781913888000,177.8125,3918,2048,-,-
1781913939000,177.8125,3918,2048,-,-
1781913990000,177.8125,3918,2048,-,-
1781914041000,177.8125,3918,2048,-,-
1781914092000,177.8125,3918,2048,-,-
1781914143000,177.8125,3918,2048,-,-
1781914194000,177.8125,3918,2048,-,-
1781914245000,177.8125,3918,2048,-,-
1781914296000,177.8125,3918,2048,-,-
1781914347000,177.8125,3918,2048,-,-
1781914398000,177.8125,3918,2048,-,-
1781914449000,177.8125,3918,2048,-,-
1781914500000,177.8125,3918,2048,-,-
1781914551000,177.8125,3918,2048,-,-
1781914602000,177.8125,3918,2048,-,-
1781914653000,177.8125,3918,2048,-,-
1781914704000,177.8125,3918,2048,-,-
1781914755000,177.8125,3918,2048,-,-
1781914806000,177.8125,3918,2048,-,-
1781914857000,177.8125,3918,2048,-,-
1781914908000,177.8125,3918,2048,-,-
1781914959000,177.8125,3918,2048,-,-
1781915010000,177.8125,3918,2048,-,-
1781915061000,177.8125,3918,2048,-,-
1781915112000,177.8125,3918,2048,-,-
1781915163000,177.8125,3918,2048,-,-
1781915214000,177.8125,3918,2048,-,-
1781915265000,177.8125,3918,2048,-,-
1781915316000,177.8125,3918,2048,-,-
1781915367000,177.8125,3918,2048,-,-
1781915418000,177.8125,3918,2048,-,-
