timestamp,mem (kibibytes),anomaly%,annotations
1781910012000,0,-,-
1781910063000,6.0466667,-,-
1781910114000,108.84,-,-
1781910165000,166.5333333,-,-
1781910216000,91.8933333,-,-
1781910267000,32,-,-
1781910318000,32,-,-
1781910369000,32,-,-
1781910420000,32,-,-
1781910471000,32,-,-
1781910522000,32,-,-
1781910573000,32,-,-
1781910624000,32,-,-
1781910675000,32,-,-
1781910726000,32,-,-
1781910777000,32,-,-
1781910828000,32,-,-
1781910879000,32,-,-
1781910930000,32,-,-
1781910981000,32,-,-
1781911032000,32,-,-
1781911083000,32,-,-
1781911134000,32,-,-
1781911185000,32,-,-
1781911236000,32,-,-
1781911287000,31.64,-,-
1781911338000,66.44,-,-
1781911389000,132.3666667,-,-
1781911440000,40,-,-
1781911491000,40,-,-
1781911542000,40,-,-
1781911593000,40,-,-
1781911644000,40,-,-
1781911695000,40,-,-
1781911746000,40,-,-
1781911797000,40,-,-
1781911848000,40,-,-
1781911899000,40,-,-
1781911950000,38.4666667,-,-
1781912001000,49.3233333,-,-
1781912052000,89.0666667,-,-
1781912103000,156,-,-
1781912154000,156,-,-
1781912205000,74.1,-,-
1781912256000,112.32,-,-
1781912307000,156,-,-
1781912358000,156,-,-
1781912409000,156,-,-
1781912460000,156,-,-
1781912511000,156,-,-
1781912562000,157.0266667,-,-
1781912613000,314.3633333,-,-
1781912664000,498.6533333,-,-
1781912715000,574.9166667,-,-
1781912766000,559.8666667,-,-
1781912817000,626.1666667,-,-
1781912868000,525.9066667,-,-
1781912919000,431.4866667,-,-
1781912970000,197.3333333,-,-
1781913021000,0,-,-
1781913072000,0,-,-
1781913123000,0,-,-
1781913174000,0,-,-
1781913225000,0,-,-
1781913276000,0,-,-
1781913327000,0,-,-
1781913378000,0,-,-
1781913429000,0,-,-
1781913480000,0,-,-
1781913531000,0,-,-
1781913582000,0,-,-
1781913633000,0,-,-
1781913684000,0,-,-
1781913735000,0,-,-
1781913786000,18.88,-,-
1781913837000,179.36,-,-
1781913888000,93.8666667,-,-
1781913939000,66.1466667,-,-
1781913990000,64,-,-
1781914041000,64,-,-
1781914092000,64,-,-
1781914143000,64,-,-
1781914194000,64,-,-
1781914245000,64,-,-
1781914296000,64,-,-
1781914347000,64,-,-
1781914398000,64,-,-
1781914449000,64,-,-
1781914500000,64,-,-
1781914551000,64,-,-
1781914602000,64,-,-
1781914653000,64,-,-
1781914704000,64,-,-
1781914755000,64,-,-
1781914806000,64,-,-
1781914857000,64,-,-
1781914908000,64,-,-
1781914959000,64,-,-
1781915010000,210.1666667,-,-
1781915061000,268.0166667,-,-
1781915112000,104,-,-
1781915163000,104,-,-
1781915214000,104,-,-
1781915265000,104,-,-
1781915316000,104,-,-
1781915367000,104,-,-
1781915418000,104,-,-
