timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781904606000,0.940944,0.0007747,-,-
1781904657000,6.0480827,0.0007194,-,-
1781904708000,1.3641797,0.0002474,-,-
1781904759000,0.2748014,0.0012305,-,-
1781904810000,0.3173503,0.0018555,-,-
1781904861000,0.3805892,0.0012272,-,-
1781904912000,1.8443229,0.0004036,-,-
1781904963000,6.5929297,0.0019368,-,-
1781905014000,1.0539844,0.0005534,-,-
1781905065000,0.3339355,0.0001465,-,-
1781905116000,0.4545313,0.000026,-,-
1781905167000,0.4321224,0.0001172,-,-
1781905218000,2.5860742,0.0002214,-,-
1781905269000,6.9984733,0.000179,-,-
1781905320000,1.614974,0.0004557,-,-
1781905371000,3.694209,0.0563477,-,-
1781905422000,1.4398698,0.0198633,-,-
1781905473000,0.6236621,0.0003223,-,-
1781905524000,3.782474,0.0006641,-,-
1781905575000,7.3507324,0.0008464,-,-
1781905626000,4.5047721,0.0009375,-,-
1781905677000,0.5343978,0.0000521,-,-
1781905728000,0.3565755,0,-,-
1781905779000,0.2972982,0.0011426,-,-
1781905830000,3.2929362,0.0008789,-,-
1781905881000,4.219974,0,-,-
1781905932000,0.3194922,0.0000521,-,-
1781905983000,0.3722233,0.0002897,-,-
1781906034000,0.2884961,0.0007878,-,-
1781906085000,0.3861654,0.0015299,-,-
1781906136000,5.0530208,0.0013281,-,-
1781906187000,5.1755501,0.0006315,-,-
1781906238000,1.1818099,0.0002669,-,-
1781906289000,0.3332845,0.000498,-,-
1781906340000,0.4182292,0,-,-
1781906391000,0.3288021,0.0001107,-,-
1781906442000,5.8548698,0.0000391,-,-
1781906493000,5.4936263,0,-,-
1781906544000,2.1270052,0.0004948,-,-
1781906595000,0.3838542,0.0013997,-,-
1781906646000,0.2537435,0.0017122,-,-
1781906697000,0.4593262,0.0002181,-,-
1781906748000,6.5979818,0.000026,-,-
1781906799000,3.9667025,0.0002962,-,-
1781906850000,0.9594076,0.0008464,-,-
1781906901000,0.2550033,0.000918,-,-
1781906952000,0.3426562,0.0002604,-,-
1781907003000,0.7312533,0.0000163,-,-
1781907054000,9.1206315,0.000293,-,-
1781907105000,2.7277832,0.0000814,-,-
1781907156000,0.3376432,0.0002734,-,-
1781907207000,0.3588086,0.0002507,-,-
1781907258000,0.3584245,0.0004102,-,-
